t,psi_m,psi_l,nu
0.01953124999999967,0.09434499157855222,0.094340996704953,-63.000000000002245
0.03906250000000064,0.04372312842399183,0.043719612468918645,-63.00000000000908
0.05859375000000369,0.02026960535584109,0.02026640197028306,-63.00000000001988
0.0781250000000012,0.00939835906234214,0.009395316226839732,-63.00000000003324
0.09765624999999731,0.004361944967904071,0.004358741906945719,-63.000000000048246
0.11718749999999342,0.002026389002458048,0.0020232101209892743,-63.00000000006586
0.13671874999999786,0.0009388875943832234,0.0009364546511827201,-63.000000000086516
0.15625000000000785,0.00043198476455367694,0.0004307734347592414,-63.000000000103746
0.17578125000001785,0.00019885620364027768,0.0001981367671086694,-63.00000000011563
0.19531250000002784,0.00009162472253713001,0.00009111279015167173,-63.00000000012303
0.21484375000003783,0.00004229442719470532,0.00004188065285289787,-63.00000000012707
0.23437500000004782,0.000019594216597040687,0.000019236991133893704,-63.000000000128615
0.25390625000005224,9.142240217164572e-6,8.825762076614905e-6,-63.00000000012831
0.2734375000000345,4.326008357480014e-6,4.042105398427801e-6,-63.00000000012665
0.2929687500000167,2.1045496753486564e-6,1.8473048820313188e-6,-63.000000000123954
0.31249999999999895,1.0763737747151625e-6,8.433322709451492e-7,-63.00000000012058
0.3320312499999812,5.972631299656709e-7,3.8699282667941167e-7,-63.00000000011675
0.3515624999999634,3.715166750674755e-7,1.8236869961083517e-7,-63.00000000011251
0.37109374999994565,2.635956780614872e-7,9.331431065839278e-8,-63.00000000010816
0.3906249999999279,2.0943653898170308e-7,5.719116622960965e-8,-63.00000000010363
0.4101562499999101,1.8202871774759525e-7,4.51798128589321e-8,-63.000000000099135
0.42968749999989236,1.6648000099545175e-7,4.4020486250214203e-8,-63.0000000000947
0.4492187499998746,1.569360532557597e-7,4.761245329076233e-8,-63.00000000009028
0.46874999999985684,1.5127188246723783e-7,5.314905856285414e-8,-63.00000000008599
0.4882812499998391,1.464112960942406e-7,5.933953420847648e-8,-63.000000000081826
0.5078124999998214,1.435766964732183e-7,6.559088686147236e-8,-63.000000000077826
0.5273437499998036,1.4080809084225754e-7,7.163150315600284e-8,-63.00000000007401
0.5468749999997858,1.384204491563908e-7,7.733798727284496e-8,-63.00000000007036
0.5664062499997681,1.368970395892547e-7,8.265550641711746e-8,-63.000000000066834
0.5859374999997503,1.3503942419322537e-7,8.756115972878497e-8,-63.000000000063565
0.6054687499997325,1.3347804985694828e-7,9.204714195588159e-8,-63.000000000060425
0.6249999999997148,1.3246979512850058e-7,9.611301306909957e-8,-63.000000000057454
0.644531249999697,1.3109932615652776e-7,9.976215484197467e-8,-63.00000000005464
0.6640624999996793,1.2945346216479902e-7,1.0300015026537084e-7,-63.00000000005195
0.6835937499996615,1.2872435744287465e-7,1.0583404357896856e-7,-63.00000000004941
0.7031249999996437,1.276340229747018e-7,1.082720014062489e-7,-63.000000000047045
0.722656249999626,1.2619704849391914e-7,1.1032315355500958e-7,-63.00000000004479
0.7421874999996082,1.2474493985223223e-7,1.1199751178729356e-7,-63.000000000042675
0.7617187499995904,1.238205500320695e-7,1.1330591990859124e-7,-63.00000000004067
0.7812499999995727,1.2256470030962216e-7,1.14260013717537e-7,-63.000000000038746
0.8007812499995549,1.209931192750191e-7,1.1487218122229963e-7,-63.000000000036934
0.8203124999995371,1.1930275468889393e-7,1.151555187190639e-7,-63.00000000003526
0.8398437499995194,1.1820679157208301e-7,1.1512378147772435e-7,-63.00000000003363
0.8593749999995016,1.1682194889746379e-7,1.1479132813845681e-7,-63.000000000032095
0.8789062499994839,1.1516478857613004e-7,1.141730597809543e-7,-63.000000000030624
0.8984374999994661,1.1328435331170953e-7,1.1328435331170953e-7,-63.000000000029246
0.9179687499994483,1.1214099065383428e-7,1.1214099065383428e-7,-63.000000000027924
0.9374999999994306,1.1075908401023606e-7,1.1075908401023606e-7,-63.00000000002666
0.9570312499994128,1.0915499816140292e-7,1.0915499816140292e-7,-63.00000000002547
0.976562499999395,1.0751458960912712e-7,1.0734527068710118e-7,-63.000000000024315
0.9960937499993773,1.0650648599203576e-7,1.0534653106780424e-7,-63.00000000002322
1.0156249999993596,1.0530981336600651e-7,1.0317541931506394e-7,-63.00000000002214
1.0351562499993419,1.039394332401761e-7,1.0084850531921878e-7,-63.00000000002116
1.054687499999324,1.0318546032179794e-7,9.838220947130901e-8,-63.000000000020194
1.0742187499993063,1.0249811571436876e-7,9.579272542837161e-8,-63.00000000001929
1.0937499999992886,1.0166337820167362e-7,9.30959458921561e-8,-63.00000000001844
1.1132812499992708,1.0159400564184159e-7,9.030739212568596e-8,-63.00000000001763
1.132812499999253,1.0149332677044043e-7,8.744214739103424e-8,-63.00000000001683
1.1523437499992353,1.0174997471564603e-7,8.45147956871188e-8,-63.00000000001607
1.1718749999992175,1.0239978338448605e-7,8.153936544558536e-8,-63.000000000015405
1.1914062499991998,1.0338951488551666e-7,7.852927911391469e-8,-63.00000000001477
1.210937499999182,1.047761730153674e-7,7.549730908692913e-8,-63.00000000001414
1.2304687499991642,1.0679723445856843e-7,7.245553934217089e-8,-63.00000000001361
1.2499999999991465,1.0923347621148719e-7,6.941533421314849e-8,-63.00000000001308
1.2695312499991287,1.1226818532622363e-7,6.638731331551233e-8,-63.00000000001261
1.289062499999111,1.160082539559319e-7,6.338133299200255e-8,-63.00000000001222
1.3085937499990932,1.2048103053194162e-7,6.040647456934598e-8,-63.000000000011866
1.3281249999990754,1.25640056129947e-7,5.747103843855212e-8,-63.000000000011525
1.3476562499990576,1.3154693452480666e-7,5.4582544474406405e-8,-63.00000000001124
1.3671874999990399,1.377227568749893e-7,5.174773806486079e-8,-63.00000000001099
1.3867187499990221,1.4382356425591638e-7,4.89726016832531e-8,-63.00000000001077
1.4062499999990044,1.496183821109054e-7,4.626237148030231e-8,-63.00000000001063
1.4257812499989866,1.5513915669793697e-7,4.36215580973563e-8,-63.00000000001052
1.4453124999989688,1.6039913940104565e-7,4.1053971980676e-8,-63.0000000000105
1.464843749998951,1.653580464004745e-7,3.856275211329946e-8,-63.00000000001045
1.4843749999989333,1.7002106222883484e-7,3.615039802400591e-8,-63.0000000000105
1.5039062499989155,1.7439459665384875e-7,3.381880419629303e-8,-63.00000000001052
1.5234374999988978,1.7848617513046825e-7,3.1569296763245194e-8,-63.00000000001062
1.54296874999888,1.8230432574791413e-7,2.940267162405652e-8,-63.000000000010715
1.5624999999988622,1.858584635775537e-7,2.7319233867171433e-8,-63.00000000001087
1.5820312499988445,1.8915877412865558e-7,2.531883781454212e-8,-63.00000000001107
1.6015624999988267,1.9221609680802031e-7,2.3400927432865288e-8,-63.00000000001124
1.621093749998809,1.9504180929280495e-7,2.1564576373049932e-8,-63.00000000001148
1.6406249999987912,1.9764771398409692e-7,1.9808527313814107e-8,-63.00000000001171
1.6601562499987734,2.0004592783490864e-7,1.8131230854022437e-8,-63.00000000001207
1.6796874999987557,2.0224877558817442e-7,1.6530883251950992e-8,-63.00000000001237
1.699218749998738,2.0426868783073274e-7,1.5005462483427706e-8,-63.00000000001273
1.7187499999987201,2.0611810408989224e-7,1.355276291295174e-8,-63.00000000001304
1.7382812499987024,2.0780938181493655e-7,1.2170428338362385e-8,-63.000000000013365
1.7578124999986846,2.0935471145007516e-7,1.085598255904191e-8,-63.00000000001371
1.7773437499986668,2.1076603816955903e-7,9.60685822238671e-9,-63.00000000001407
1.796874999998649,2.1205499013492305e-7,8.420423760012823e-9,-63.00000000001447
1.8164062499986313,2.1323281385617696e-7,7.294007764434137e-9,-63.00000000001485
1.8359374999986136,2.14310316204712e-7,6.224921460583553e-9,-63.00000000001521
1.8554687499985958,2.1529781377056743e-7,5.21047897716425e-9,-63.00000000001567
1.874999999998578,2.1620508861353698e-7,4.2480156866418465e-9,-63.00000000001611
1.8945312499985603,2.1704135100619953e-7,3.3349042577941133e-9,-63.00000000001656
1.9140624999985425,2.1781520837199848e-7,2.4685688749931964e-9,-63.00000000001696
1.9335937499985247,2.1853464052442384e-7,1.6464973499932606e-9,-63.00000000001736
1.953124999998507,2.192069806896367e-7,8.662517749136487e-10,-63.00000000001772
1.9726562499984892,2.198389020417905e-7,1.2547727971425606e-10,-63.0000000000181
1.9921874999984714,2.2043640926624702e-7,-5.78090636003741e-10,-63.00000000001851
2.0117187499984537,2.2100483506027918e-7,-1.2466204559537664e-9,-63.000000000018886
2.031249999998436,2.215488407774273e-7,-1.8821801988285314e-9,-63.000000000019284
2.050781249998418,2.2207242103837022e-7,-2.486734007266522e-9,-63.00000000001966
2.0703124999984004,2.2257891204013832e-7,-3.0621401301177867e-9,-63.00000000002005
2.0898437499983826,2.2307100262747481e-7,-3.6101497586524307e-9,-63.00000000002043
2.109374999998365,2.2355074849272542e-7,-4.132406561230857e-9,-63.000000000020826
2.128906249998347,2.2401958857776078e-7,-4.630447494343856e-9,-63.0000000000212
2.1484374999983293,2.2447836333275316e-7,-5.105703664500478e-9,-63.00000000002156
2.1679687499983116,2.2492733507212934e-7,-5.559502269513949e-9,-63.00000000002192
2.187499999998294,2.2536620944853957e-7,-5.993068927637578e-9,-63.00000000002229
2.207031249998276,2.257941581142851e-7,-6.407530094226356e-9,-63.000000000022666
2.2265624999982583,2.262098422814447e-7,-6.803916226463418e-9,-63.000000000023014
2.2460937499982405,2.2661143712446814e-7,-7.183165177189757e-9,-63.00000000002335
2.2656249999982228,2.2699665643049658e-7,-7.54612549494724e-9,-63.00000000002372
2.285156249998205,2.2736277775886622e-7,-7.893560279940394e-9,-63.00000000002405
2.3046874999981872,2.277066677003075e-7,-8.226150941693735e-9,-63.00000000002439
2.3242187499981695,2.2802480721818377e-7,-8.544501145441636e-9,-63.00000000002471
2.3437499999981517,2.2831331699584986e-7,-8.84914078398589e-9,-63.00000000002503
2.363281249998134,2.2856798274730133e-7,-9.140530249887969e-9,-63.00000000002535
2.382812499998116,2.2878428053714303e-7,-9.419064169362147e-9,-63.00000000002567
2.4023437499980984,2.2895740178203521e-7,-9.685075648403752e-9,-63.00000000002595
2.4218749999980806,2.2908227832841115e-7,-9.938840052545135e-9,-63.00000000002624
2.441406249998063,2.291536072891806e-7,-1.018057922429289e-8,-63.00000000002651
2.460937499998045,2.291658759608868e-7,-1.0410465225483388e-8,-63.00000000002675
2.4804687499980274,2.2911338634991327e-7,-1.0628623973082978e-8,-63.00000000002699
2.4999999999980096,2.2899028006244144e-7,-1.0835139287407069e-8,-63.00000000002724
2.519531249997992,2.2879056319873905e-7,-1.1030056889954735e-8,-63.00000000002748
2.539062499997974,2.2850813120685465e-7,-1.121338774462638e-8,-63.00000000002766
2.5585937499979563,2.2813679387806216e-7,-1.138511159355677e-8,-63.00000000002784
2.5781249999979385,2.2767030059956706e-7,-1.1545180542523484e-8,-63.000000000028045
2.5976562499979208,2.2710236621149322e-7,-1.1693522541344569e-8,-63.00000000002825
2.617187499997903,2.26426696735015e-7,-1.183004484638565e-8,-63.00000000002847
2.6367187499978852,2.256370156316457e-7,-1.1954637305099891e-8,-63.00000000002861
2.6562499999978675,2.2472709051894144e-7,-1.2067175628693027e-8,-63.00000000002873
2.6757812499978497,2.2369076033351831e-7,-1.2167524595112227e-8,-63.000000000028855
2.695312499997832,2.2252196290489753e-7,-1.2255541162011218e-8,-63.00000000002899
2.714843749997814,2.2121476308373275e-7,-1.2331077696621725e-8,-63.00000000002906
2.7343749999977964,2.1976338128007792e-7,-1.2393984829942764e-8,-63.00000000002914
2.7539062499977787,2.181622223829484e-7,-1.2444114398479068e-8,-63.000000000029196
2.773437499997761,2.1640590534814882e-7,-1.248132251681014e-8,-63.000000000029274
2.792968749997743,2.1448929265582808e-7,-1.2505472050682263e-8,-63.00000000002931
2.8124999999977254,2.1240752047672678e-7,-1.2516435505370952e-8,-63.000000000029324
2.8320312499977076,2.1015602919168455e-7,-1.2514097751350517e-8,-63.00000000002932
2.85156249999769,2.077305935614267e-7,-1.2498358406359608e-8,-63.00000000002928
2.871093749997672,2.0512735302423874e-7,-1.2469134322816237e-8,-63.00000000002927
2.8906249999976543,2.0234284205197093e-7,-1.2426361887779137e-8,-63.000000000029175
2.9101562499976366,1.993740199251881e-7,-1.236999922917746e-8,-63.00000000002906
2.929687499997619,1.962182999170068e-7,-1.230002824176833e-8,-63.00000000002892
2.949218749997601,1.928735782747651e-7,-1.2216456632160215e-8,-63.000000000028784
2.9687499999975833,1.8933826177073592e-7,-1.211931957643786e-8,-63.00000000002862
2.9882812499975655,1.8561129421728676e-7,-1.2008681321681778e-8,-63.000000000028415
3.0078124999975477,1.8169218214995716e-7,-1.1884636880802076e-8,-63.000000000028194
3.02734374999753,1.7758101824792733e-7,-1.174731309630129e-8,-63.00000000002796
3.046874999997512,1.732785030174561e-7,-1.159686971628323e-8,-63.00000000002768
3.0664062499974944,1.6878596441753114e-7,-1.1433500365676896e-8,-63.00000000002735
3.0859374999974767,1.6410537539739502e-7,-1.1257433229707039e-8,-63.00000000002702
3.105468749997459,1.592393681476288e-7,-1.1068931377364857e-8,-63.00000000002665
3.124999999997441,1.5419124570450888e-7,-1.0868293021272557e-8,-63.000000000026255
3.1445312499974234,1.489649907318226e-7,-1.0655851683311665e-8,-63.00000000002579
3.1640624999974056,1.4356527034334033e-7,-1.0431975772443463e-8,-63.00000000002538
3.183593749997388,1.3799743724972129e-7,-1.0197068061224389e-8,-63.00000000002493
3.20312499999737,1.3226752720204124e-7,-9.951565232890216e-9,-63.0000000000244
3.2226562499973523,1.2638225257725355e-7,-9.695936593721798e-9,-63.0000000000239
3.2421874999973346,1.2034899116432506e-7,-9.430682937154862e-9,-63.00000000002335
3.261718749997317,1.1417577094199782e-7,-9.156335319482567e-9,-63.00000000002277
3.281249999997299,1.078712503212957e-7,-8.87345322650993e-9,-63.00000000002218
3.3007812499972813,1.0144469388624334e-7,-8.582622596015097e-9,-63.00000000002162
3.3203124999972635,9.490594323797454e-8,-8.284453788588229e-9,-63.000000000020975
3.3398437499972458,8.826538341154654e-8,-7.979579241890373e-9,-63.000000000020336
3.359374999997228,8.153390514034954e-8,-7.66865096706012e-9,-63.00000000001967
3.3789062499972102,7.472286231470032e-8,-7.35233788873231e-9,-63.000000000018936
3.3984374999971925,6.784402534363451e-8,-7.031323050725154e-9,-63.00000000001825
3.4179687499971747,6.090953063823867e-8,-6.706300620853781e-9,-63.000000000017515
3.437499999997157,5.393182636763632e-8,-6.377972757455936e-9,-63.000000000016826
3.457031249997139,4.692361469270661e-8,-6.0470465861119265e-9,-63.00000000001609
3.4765624999971214,3.989779088192439e-8,-5.714230845176787e-9,-63.00000000001535
3.4960937499971037,3.2867379909741745e-8,-5.380232674803389e-9,-63.00000000001457
3.515624999997086,2.5845471160175292e-8,-5.045754345259234e-9,-63.000000000013856
3.535156249997068,1.8845150854889306e-8,-4.7114899559694695e-9,-63.000000000013166
3.5546874999970504,1.1915948335218483e-8,-4.378122196845966e-9,-63.0000000000124
3.5742187499970326,5.185023178997547e-9,-4.046319197540764e-9,-63.00000000001168
3.593749999997015,8.621675379475393e-9,-3.716731460715133e-9,-63.00000000001096
3.613281249996997,1.3838365427464728e-8,-3.3899889472525575e-9,-63.00000000001027
3.6328124999969793,1.9321731195935227e-8,-3.066698103251528e-9,-63.00000000000952
3.6523437499969615,2.475357540739073e-8,-2.74743932060796e-9,-63.00000000000886
3.671874999996944,3.039171362357366e-8,-2.432764403211841e-9,-63.00000000000823
3.691406249996926,3.59282285072536e-8,-2.1231943611423364e-9,-63.000000000007574
3.7109374999969083,4.152004839953972e-8,-1.8192173384503532e-9,-63.000000000006985
3.7304687499968905,4.708592527152385e-8,-1.5212867484993393e-9,-63.00000000000641
3.7499999999968727,5.251993875624617e-8,-1.2298197107990647e-9,-63.000000000005855
3.769531249996855,5.798807847306266e-8,-9.451958059689123e-10,-63.00000000000531
3.789062499996837,6.333081178663413e-8,-6.677559047298706e-10,-63.00000000000478
3.8085937499968194,6.851672697802873e-8,-3.978012546535469e-10,-63.00000000000433
3.8281249999968017,7.365324915172999e-8,-1.3559309592938517e-10,-63.00000000000387
3.847656249996784,7.863883240120735e-8,1.186468996827232e-10,-63.000000000003446
3.867187499996766,8.34500490971923e-8,3.647369922095089e-10,-63.00000000000309
